日期,收盘,最高,最低
2022-06-29,41.88,42.68,41.82
2022-06-30,43.67,44.68,41.79
2022-07-01,45.58,46.25,43.58
2022-07-04,47.82,48.26,46.6
2022-07-05,47.31,48.27,46.82
2022-07-06,47.86,48.44,47.06
2022-07-07,47.4,48.4,46.28
2022-07-08,50.19,50.72,48.01
2022-07-11,49.65,50.83,48.78
2022-07-12,46.4,49.58,46.37
2022-07-13,46.58,47.5,45.68
2022-07-14,49.12,49.66,46.73
2022-07-15,46.58,48.97,46.28
2022-07-18,49.58,49.59,47.18
2022-07-19,48.46,49.16,47.59
2022-07-20,48.45,48.78,47.8
2022-07-21,48.23,49.53,48.21
2022-07-22,47.65,48.42,47.41
2022-07-25,48.52,48.84,47.23
2022-07-26,47.0,52.47,46.58
2022-07-27,46.95,47.78,45.87
2022-07-28,45.77,46.79,45.77
2022-07-29,43.48,45.77,43.13
2022-08-01,43.61,43.76,42.46
2022-08-02,41.58,43.07,41.27
2022-08-03,41.73,42.53,41.46
2022-08-04,42.43,42.72,41.79
2022-08-05,42.93,42.96,42.4
2022-08-08,43.26,44.54,43.21
2022-08-09,42.18,42.78,42.02
2022-08-10,42.06,42.85,41.79
2022-08-11,42.52,42.53,41.91
2022-08-12,43.49,43.92,42.78
2022-08-15,42.95,43.7,42.76
2022-08-16,42.68,43.11,42.6
2022-08-17,42.76,42.86,42.09
2022-08-18,42.36,42.56,42.18
2022-08-19,42.2,42.57,42.16
2022-08-22,42.02,42.06,41.36
2022-08-23,41.08,42.06,41.06
2022-08-24,40.29,41.33,40.27
2022-08-25,40.28,40.47,39.44
2022-08-26,40.51,40.83,40.19
2022-08-29,40.19,40.28,39.43
2022-08-30,39.66,40.43,39.58
2022-08-31,39.94,40.21,39.17
2022-09-01,40.48,40.91,39.46
2022-09-02,39.79,40.55,39.71
2022-09-05,35.77,37.48,35.77
2022-09-06,35.0,35.45,34.33
2022-09-07,35.13,35.3,34.73
2022-09-08,33.54,35.06,33.54
2022-09-09,34.58,34.73,33.61
2022-09-13,34.02,34.71,33.95
2022-09-14,33.34,33.57,30.58
2022-09-15,32.62,33.84,32.27
2022-09-16,31.75,33.03,31.73
2022-09-19,31.77,32.17,31.46
2022-09-20,31.85,32.02,31.53
2022-09-21,31.28,31.8,31.05
2022-09-22,30.57,31.15,30.43
2022-09-23,30.06,30.78,29.79
2022-09-26,29.67,30.23,29.65
2022-09-27,30.03,30.13,29.43
2022-09-28,29.14,30.18,29.14
2022-09-29,29.19,29.97,29.02
2022-09-30,29.14,30.05,29.13
2022-10-10,27.77,29.13,27.69
2022-10-11,27.55,28.17,27.25
2022-10-12,28.3,28.33,27.22
2022-10-13,28.97,29.47,28.14
2022-10-14,30.73,31.14,29.04
2022-10-17,30.93,31.27,29.8
2022-10-18,31.27,31.76,30.57
2022-10-19,30.68,31.32,30.43
2022-10-20,30.8,31.54,30.28
2022-10-21,31.93,32.51,30.94
2022-10-24,30.37,32.23,30.29
2022-10-25,30.69,31.27,30.35
