,002549,600008,300332,300055,600292
2024-01-02,9.67,2.72,7.92,6.22,6.31
2024-01-03,9.66,2.73,7.89,6.23,6.32
2024-01-04,9.47,2.75,7.91,6.19,6.36
2024-01-05,9.3,2.75,8.04,6.11,6.27
2024-01-08,8.99,2.69,7.69,5.96,6.15
2024-01-09,8.92,2.71,7.59,5.93,6.11
2024-01-10,8.77,2.71,7.6,5.88,6.1
2024-01-11,8.95,2.7,7.65,6.04,6.15
2024-01-12,8.91,2.72,7.79,6.08,6.31
2024-01-15,8.86,2.71,7.64,5.91,6.13
2024-01-16,8.82,2.71,7.5,5.89,6.1
2024-01-17,8.56,2.66,7.24,5.8,5.96
2024-01-18,8.57,2.64,7.18,5.85,5.82
2024-01-19,8.43,2.63,7.18,5.67,5.77
2024-01-22,7.86,2.54,6.82,5.38,5.36
2024-01-23,7.95,2.56,7.15,5.4,5.39
2024-01-24,8.03,2.63,7.08,5.5,5.56
2024-01-25,8.29,2.71,7.21,5.67,5.89
2024-01-26,8.2,2.72,7.21,5.75,6.01
2024-01-29,7.6,2.72,7.08,5.54,5.76
2024-01-30,7.16,2.71,6.9,5.37,5.66
2024-01-31,6.81,2.72,6.66,5.07,5.45
2024-02-01,6.62,2.7,6.66,4.94,5.28
2024-02-02,6.24,2.7,6.26,4.69,4.99
2024-02-05,5.62,2.68,6.19,4.01,4.49
2024-02-06,5.69,2.76,6.63,4.22,4.43
2024-02-07,5.77,2.85,6.95,3.98,4.26
2024-02-08,6.35,2.86,7.37,4.38,4.64
2024-02-19,6.39,2.83,7.05,4.53,4.83
2024-02-20,6.42,2.82,6.96,4.61,4.81
2024-02-21,6.5,2.82,6.99,4.74,4.89
2024-02-22,6.72,2.82,7.03,4.84,4.97
2024-02-23,7.02,2.81,7.04,4.96,5.1
2024-02-26,7.15,2.78,7.02,5.02,5.13
2024-02-27,7.4,2.8,7.14,5.1,5.22
2024-02-28,6.9,2.79,7.04,4.79,4.91
2024-02-29,7.59,2.81,7.23,4.94,5.05
2024-03-01,7.67,2.82,7.23,5.0,5.11
2024-03-04,7.48,2.79,7.08,4.94,5.06
2024-03-05,7.2,2.79,6.9,4.75,4.91
2024-03-06,7.3,2.8,7.02,4.84,4.95
2024-03-07,7.12,2.78,6.85,4.82,4.97
2024-03-08,7.21,2.78,6.83,4.82,5.03
2024-03-11,7.4,2.8,6.89,4.98,5.12
2024-03-12,7.48,2.78,6.86,5.03,5.14
2024-03-13,7.46,2.77,6.83,5.0,5.13
2024-03-14,7.41,2.78,6.79,5.02,5.15
2024-03-15,7.57,2.84,6.87,5.18,5.3
2024-03-18,7.61,2.83,6.89,5.19,5.34
2024-03-19,7.61,2.78,6.76,5.15,5.32
2024-03-20,7.71,2.79,6.78,5.2,5.36
2024-03-21,7.64,2.78,6.67,5.21,5.38
2024-03-22,7.53,2.74,6.48,5.1,5.3
2024-03-25,7.27,2.75,6.36,4.93,5.24
2024-03-26,7.34,2.75,6.35,4.98,5.31
2024-03-27,6.98,2.73,6.1,4.83,5.2
2024-03-28,7.15,2.74,6.14,4.96,5.24
2024-03-29,7.16,2.78,6.2,5.03,5.41
2024-04-01,7.63,2.81,6.58,5.15,5.41
